arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
AutoHLA,>=20%,30,17896,17898.0,17673.0,17673.0,17671.162560719145,17671.735938306556,17673.0,47540.09640798687,17896.0,0.9875391148860081,0.9874364417031262,0.9874684811302278,0.9875391148860081,0.9804829383235419,0.0018449619084596547
AEHLA+pair+ridge,<1%,1920,8609,7471.0,5871.0,5871.0,6216.002092153519,5929.427522012494,5871.0,17711.863849174435,7953.0,0.681960738761761,0.7220353225872365,0.6887475342098378,0.681960738761761,0.9545419877657354,0.013195448675488561
AEHLA+pair+ridge,1-5%,680,37017,37259.0,34102.0,34102.0,33978.798157733516,33980.51195012468,34102.0,78608.99338510408,37017.0,0.921252397547073,0.9179241472224523,0.9179704446639295,0.921252397547073,0.9443846065782612,0.004618840622864623
AEHLA+pair+ridge,5-10%,290,42096,42526.0,40127.0,40127.0,39800.23795057438,39937.02884655865,40127.0,98818.7325921253,42096.0,0.9532259597111364,0.9454636533298741,0.9487131519992077,0.9532259597111364,0.9640931935145097,0.0036042071216199883
AEHLA+pair+ridge,10-20%,140,41214,41623.0,39824.0,39824.0,39455.89584238429,39625.52262303662,39824.0,86408.99937461244,41214.0,0.9662735963507546,0.9573420644049181,0.9614578207171499,0.9662735963507546,0.9413907587640116,0.0016211872855615343
AEHLA+pair+ridge,>=20%,30,17896,17953.0,17732.0,17732.0,17676.581182913847,17703.71596944277,17732.0,49028.16016272192,17896.0,0.9908359409924006,0.9877392256880781,0.9892554743765516,0.9908359409924006,0.9834482671973854,0.00161066261728234
AutoHLA+pair+ridge,<1%,1920,8609,7054.0,5874.0,5874.0,6290.365568123167,5927.177354769363,5874.0,18897.98417084565,7695.0,0.6823092112905099,0.7306731987598056,0.6884861603867305,0.6823092112905099,0.9709903749459547,0.010379555837143825
AutoHLA+pair+ridge,1-5%,680,37017,37994.0,34795.0,34795.0,33969.35228122227,34335.13252736243,34795.0,81525.68072349014,37017.0,0.9399735256773915,0.9176689705060451,0.9275503829959865,0.9399735256773915,0.9522971970519312,0.003415458701077714
AutoHLA+pair+ridge,5-10%,290,42096,42487.0,40543.0,40543.0,40223.2129712492,40369.47198280028,40543.0,105007.04189620141,42096.0,0.9631081337894337,0.955511520601701,0.958985936497536,0.9631081337894337,0.9731158224486359,0.001672038077069773
AutoHLA+pair+ridge,10-20%,140,41214,41301.0,39948.0,39948.0,39873.66833138104,39904.240151919636,39948.0,91105.14355857561,41214.0,0.9692822827194643,0.9674787288635183,0.9682205112806239,0.9692822827194643,0.9530504800236255,0.0022470647376906247
AutoHLA+pair+ridge,>=20%,30,17896,17996.0,17767.0,17767.0,17669.64242234323,17717.82962820646,17767.0,49859.09322589778,17896.0,0.9927916852928028,0.9873514987898542,0.9900441231675491,0.9927916852928028,0.9849049711502368,0.0017594462636779241
