arm,maf_bin,n_alleles,true_copies,predicted_copies,tp,sn_num,ppv_num,f1_num,cr_num,r_z_num,r_weight,sn,ppv,f1,concordance,r2,f1_fold_sd
AutoHLA,>=20%,30,17896,17898.0,17673.0,17673.0,17671.162560719145,17671.735938306556,17673.0,47540.09640798687,17896.0,0.9875391148860081,0.9874364417031262,0.9874684811302278,0.9875391148860081,0.9804829383235419,0.0018449619084596547
AEHLA+pair+ridge,AF=0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AEHLA+pair+ridge,0-0.1%,912,746,323.0,212.0,212.0,238.5,218.7,212.0,1224.181831647168,310.0,0.28418230563002683,0.31970509383378015,0.2931635388739946,0.28418230563002683,0.9985150821268627,0.039543906369924324
AEHLA+pair+ridge,0.1-0.5%,698,3028,2453.0,1700.0,1700.0,1962.181008697185,1755.5204345896398,1700.0,4752.450337729189,2812.0,0.5614266842800528,0.6480122221589119,0.579762362810317,0.5614266842800528,0.8726454246140319,0.023099181652567375
AEHLA+pair+ridge,0.5-1%,306,4831,4695.0,3959.0,3959.0,4015.321083456334,3955.2070874228543,3959.0,11735.231679798077,4831.0,0.8194990685158352,0.8311573346007729,0.8187139489593985,0.8194990685158352,0.9694220552394887,0.013556747916519039
AEHLA+pair+ridge,1-5%,680,37017,37259.0,34102.0,34102.0,33978.798157733516,33980.51195012468,34102.0,78608.99338510408,37017.0,0.921252397547073,0.9179241472224523,0.9179704446639295,0.921252397547073,0.9443846065782612,0.004618840622864623
AEHLA+pair+ridge,5-10%,290,42096,42526.0,40127.0,40127.0,39800.23795057438,39937.02884655865,40127.0,98818.7325921253,42096.0,0.9532259597111364,0.9454636533298741,0.9487131519992077,0.9532259597111364,0.9640931935145097,0.0036042071216199883
AEHLA+pair+ridge,10-20%,140,41214,41623.0,39824.0,39824.0,39455.89584238429,39625.52262303662,39824.0,86408.99937461244,41214.0,0.9662735963507546,0.9573420644049181,0.9614578207171499,0.9662735963507546,0.9413907587640116,0.0016211872855615343
AEHLA+pair+ridge,>=20%,30,17896,17953.0,17732.0,17732.0,17676.581182913847,17703.71596944277,17732.0,49028.16016272192,17896.0,0.9908359409924006,0.9877392256880781,0.9892554743765516,0.9908359409924006,0.9834482671973854,0.00161066261728234
AutoHLA+pair+ridge,AF=0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
AutoHLA+pair+ridge,0-0.1%,912,746,224.0,187.0,187.0,212.91666666666666,193.2047619047619,187.0,1104.9102815143053,240.0,0.25067024128686327,0.28541108132260945,0.2589876164943189,0.25067024128686327,0.9995989770337322,0.01597342598946274
AutoHLA+pair+ridge,0.1-0.5%,698,3028,2097.0,1621.0,1621.0,2029.2187146187146,1714.3403666303484,1621.0,5156.988956252334,2624.0,0.535336856010568,0.6701514909573033,0.5661626045674862,0.535336856010568,0.9244695641050806,0.019966370511185563
AutoHLA+pair+ridge,0.5-1%,306,4831,4733.0,4066.0,4066.0,4048.2301868377854,4019.6322262342524,4066.0,12636.084933079012,4831.0,0.8416476919892362,0.8379694031955672,0.8320497259851485,0.8416476919892362,0.9788395425888959,0.01313510246261264
AutoHLA+pair+ridge,1-5%,680,37017,37994.0,34795.0,34795.0,33969.35228122227,34335.13252736243,34795.0,81525.68072349014,37017.0,0.9399735256773915,0.9176689705060451,0.9275503829959865,0.9399735256773915,0.9522971970519312,0.003415458701077714
AutoHLA+pair+ridge,5-10%,290,42096,42487.0,40543.0,40543.0,40223.2129712492,40369.47198280028,40543.0,105007.04189620141,42096.0,0.9631081337894337,0.955511520601701,0.958985936497536,0.9631081337894337,0.9731158224486359,0.001672038077069773
AutoHLA+pair+ridge,10-20%,140,41214,41301.0,39948.0,39948.0,39873.66833138104,39904.240151919636,39948.0,91105.14355857561,41214.0,0.9692822827194643,0.9674787288635183,0.9682205112806239,0.9692822827194643,0.9530504800236255,0.0022470647376906247
AutoHLA+pair+ridge,>=20%,30,17896,17996.0,17767.0,17767.0,17669.64242234323,17717.82962820646,17767.0,49859.09322589778,17896.0,0.9927916852928028,0.9873514987898542,0.9900441231675491,0.9927916852928028,0.9849049711502368,0.0017594462636779241
